ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
923	0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0	0,0,5,19,1,456,24,0,10,0,0,0,6,0,20,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,0,7,0,281,8,0,7,0,0,4,9,0,16,0	286	269
924	1,0,5,5,1,12,2,0,4,4,0,10,0,9,19,8	5,0,3,0,0,5,0,1,1,1,1,7,1,5,28,5	0,2,5,6,3,22,1,0,4,1,3,4,2,2,24,11	0,1,1,4,2,12,0,1,0,2,3,1,3,1,12,7	278	269
925	2,11,2,2,3,11,1,2,0,12,13,14,0,17,2,15	0,1,0,0,3,1,0,0,0,4,2,0,0,9,0,1	0,4,15,3,8,13,3,3,16,4,14,8,0,12,1,15	0,3,5,0,4,11,1,1,0,2,0,3,0,6,0,9	538	269
926	0,0,0,4,0,14,1,0,0,0,0,0,0,2,0,0	0,0,0,1,0,7,1,0,0,0,0,0,0,0,2,0	0,0,0,0,0,10,0,0,0,2,0,2,0,0,0,3	0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0	272	269
927	0,0,0,0,0,3,0,0,1,0,0,5,0,5,1,2	1,2,5,3,4,8,7,6,4,19,20,8,0,17,4,14	2,0,0,0,0,0,0,3,4,7,2,2,0,0,0,1	3,5,0,5,10,6,0,2,3,14,27,15,0,5,0,21	272	269
928	2,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0	0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,1	1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2	274	269
931	0,0,0,3,0,5,0,0,0,0,6,9,0,1,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,3,4,0,1,0,7,6,0,0,6,0,5	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	304	269
932	41,40,43,58,75,19,17,81,68,33,127,110,10,83,27,60	1,1,12,84,8,45,5,15,4,11,37,3,11,17,26,13	15,35,42,54,81,45,23,78,70,22,116,30,5,55,24,66	26,7,8,7,18,0,40,8,9,96,19,0,14,64,3,12	334	269
939	1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0	272	269
940	0,3,4,0,0,1,0,1,0,0,1,0,0,5,0,4	0,0,2,0,1,0,0,0,2,0,0,1,0,8,0,4	0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,2	0,1,5,2,0,0,2,0,0,5,0,0,0,5,0,0	346	269
941	1,1,4,0,0,1,0,0,0,0,0,0,0,1,2,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	10,1,5,3,0,4,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	538	269
942	1,5,0,1,1,1,1,3,0,1,2,3,0,2,3,2	0,0,0,0,2,0,0,0,0,0,2,4,0,1,0,0	0,0,1,0,5,4,1,3,0,2,3,10,0,10,0,2	0,0,0,0,5,0,0,0,0,0,0,2,0,0,1,1	295	269
943	1,2,0,2,18,15,3,7,5,22,8,51,0,12,6,11	1,2,0,2,2,3,1,0,0,9,7,13,0,0,3,6	1,1,0,7,16,16,2,10,3,22,17,16,1,30,4,20	0,0,0,5,5,2,5,4,0,0,2,0,0,8,1,7	295	269
